,ceNumber,title,source,firstAppeared,tune,creditMusic,creditArrangement,creditLyrics,creditLyricsEdits,creditCopyright,lyricsFirstLineBody,lyricsFirstLineChorus,scriptureReference,inscription
380,381,Lead Me Safely On,267,10,10.10.10.10. with Chorus,"Charles E. Pollock, 1853-1924",,"John H. Leslie, 1841-1888",,,Lead me safely on by the narrow way,"Lead me on, lead me on",,
381,382,Stand By Me,447,9,,"Charles A. Tindley, 1856-1933",arr. by Francis A. Clark,"Charles A. Tindley, 1856-1933",,,"When the storms of life are raging, stand by me ",,,
382,383,Lift Me Up Above The Shadows,490,OLH2,,"R.E. Winsett, 1876-1952",,"Herbert Buffum, 1879-1939",,,Lift me up above the shadows,Lift me up above the shadows,,
383,384,To Him Who On the Fatal Tree,179,10,"SESSIONS, L.M.","Luther O. Emerson, 1820-1915",,"Benjamin Beddome, 1717-1795",,,To Him who on the fatal tree,,,
384,385,Oh! For A Breeze Of Heavenly Love,455,5,"CANAAN’S LAND, C.M.D.","Amariah Hall, 1758-1827 (1810)","arr. by Elder J.A. Monsees, 1883-1971",Author unknown,"alt. by E.J. King, 1821-1844",,Oh! For a breeze of heav’nly love,,,
385,386,Day By Day And With Each Passing Moment,485,OLH2,"BLOTT EN DAG, 10.9.10.9.D.","Oscar Ahnfelt, 1813-1882",,"Carolina Sandell, 1832-1903","trans. by A.L. Skoog, 1856-1934",,Day by day and with each passing moment,,,
386,387,Valley Of Affliction,508,11,,"Mel. by Elder W.E. Harper, 1908-1986","Harm. by Elder Roland Green, 1924-2011","Elder W.E. Harper, 1908-1986 (1970)",,"© Copyright 1983 Old School Hymnal Co., Inc. All rights reserved.","In the valley of affliction, often dark may seem the day","Oh, the joy of Thy salvation",,
387,388,God Leads Us Along,507,1,11’s & 8’s with Chorus,Goerge A. Young (1903),,Goerge A. Young (1903),,,In shady green pastures so rich and so sweet,"Some thru the waters, some thru the flood",,
388,389,The Lord Will Provide,596,12,"JOANNA, 11’s",Traditional Welsh Melody,,"John Newton, 1725-1807 (1779)",,,Though troubles assail us and dangers,,,
389,390,Preservation,597,1,,"Elder John R. Daily, 1854-1920",,,,,"Now in Thy praise, eternal King","Cast down, but not destroyed",2nd Corinthians 4:9,
390,391,Where Could I Go?,528,11,,"James B. Coats, 1901-1961",,"James B. Coats, 1901-1961",,"© Copyright 1940 Stamps-Baxter Music/BMI (adm. by Brentwood-Benson Music Publ., Inc.
All rights reserved. Used by permission.",Living below in this old sinful world,"Where could I go, oh, where could I go",,
391,392,Ye Fleeting Charms,457,1,"WHITE, C.M. with Chorus","Elder Edmond Dumas, 1810-1882 (1856)","arr. by Elder Roland Green, 1924-2011",,,,"Ye fleeting charms of earth, farewell",I’m a long time trav’ling here below,,in honor of Benjamin F. White
392,393,O Thou In Whose Presence,425,10,SAMANTHRA,from Southern Harmony,"arr. by Elder Roland Green, 1924-2011","from Joseph Swain, 1761-1796 (1791)",,,"O Thou, in whose presence my soul",,Song of Solomon 1:7,
393,394,When Sorrows Encompass Me ’Round,331,1,"IDUMEA, S.M.",Ananias Davisson (1816),"arr. by Elder Roland Green, 1924-2011",,,,When sorrows encompass me ’round,,,
394,395,"Come, All Ye Chosen Saints Of God",278,10,"CONFIDENCE, L.M.","J.R Turner, 1807-1874","arr. by Elder Roland Green, 1924-2011",,,,"Come, all ye chosen saints of God",,2nd Corinthians 12:9,
395,396,Almighty King! Whose Wondrous Hand,229,10,"HIDING PLACE, L.M.",Benjamin Smith (1798),,"William Cowper, 1730-1800",,,Almighty King! whose wondrous hand,,,
396,397,Til The Storm Passes By,586,12,,"Mosie Lister, 1921-2015",,"Mosie Lister, 1921-2015",,"© Copyright 1958 by Mosie Lister Songs (Adm. by The Copyright Company, Nashville, TN).
All rights reserved. International Copyright Secured. Used by permission.",In the dark of the midnight have I oft hid my face,Til the storm passes over,,
397,398,Children Of The Heavenly King,250,1,"KING OF PEACE, 7’s.","Amzi Chapin, 1768-1835","arr. by Elder Roland Green, 1924-2011","John Cennick, 1718-1755",,,Children of the heav’nly King,,,
398,399,Hide Thou Me,435,11,,"Thoro Harris, 1874-1955",,L.R. Tolbert,,"© Copyright 1926 (renewal 1953) Sinspiration Music (adm. by Brentwood-Benson Music, Frankllin, TN)
All rights reserved. Used by permission.",Sometimes I feel discouraged and think,"O Rock of Ages, hide Thou me",,
399,400,My Soul Is Not At Ease,NEW - 103,OSH100,,"Sis. Lauren Barr, 2000-",,"Sis. Lauren Barr, 2000-",,© Copyright 2019 by Lauren Barr. All rights reserved. Used by permission.,My soul is not at ease,,,
400,401,Jesus Knows,393,9,,"J.H. Hall, 1855-1941",,Laura E. Newell,,,Come what may of joy or sorrow,"Jesus knows, Jesus knows",,
401,402,I Am A Stranger Here Below,249,1,"CONFLICT, L.M.",,ed. for Old School Hymnal (2020),,,,I am a stranger here below,,,
402,403,Poor And Afflicted,269,1,"MISSION, L.M.",Andrew Gramling,"arr. by Elder Roland Green, 1924-2011","Thomas Kelly, 1674-1748",4th vs. by Elder Roland Green,,"Poor and afflicted, Lord, are thine",,Zephaniah 3:12,
403,404,God Numbers My Sorrows,NEW - 93,OSH100,,"Elder Bryce H. Lowrance, 1970-  (2018)",,"Elder Bryce H. Lowrance, 1970-  (2018)",,© Copyright 2018 by Bryce H. Lowrance. All rights reserved. Used by permission.,God numbers the sorrows of my heart,,Psalm 56,
404,405,Near Me,SOZ - 26,OSH100,,"Elder Bryce H. Lowrance, 1970-  (2016)",,"Elder Bryce H. Lowrance, 1970-  (2016)",,"© Copyright 2017 by Bryce H. Lowrance in “Songs of Zion.”
All rights reserved. Used by permission.","In depths of despair, I cry, “Lord, Save!”",,Psalm 130,"for Bethlehem Primitive Baptist Church, Echola, AL."
405,406,Traveler,233,8,C.M.D.,"Elder Leon H. Clevenger, 1880-1980",,"Elder Leon H. Clevenger, 1880-1980",,,My days are passing swiftly by,,,
406,407,He Will Guide Me,470,7,,"J.M. Henson, 1887-1972",,"James Rowe, 1865-1933",,© Copyright 1934 by J.M. Henson. All rights reserved.,"Oh, the sweet old gospel story",He will guide me with His eye,Psalm 32:8,
407,408,"O, Tell Me No More",PBH - 492,OSH100,"SWEET HARMONY, 10.11.10.11.","William Walker, 1809-1875",,"John Gambold, 1711-1771; alt.",,,"O, tell me no more of this world’s vain store,",,,
408,409,Mixtures Of Joy And Sorrow,240,9,"MIXTURE, 7.6.7.6.D.",,"arr. by Elder Roland Green, 1924-2011",,,,Mixtures of joy and sorrow I daily do pass through,,,
409,410,Help Thou Mine Unbelief,NEW,OSH100,,"Sis. Laney Hocutt, 2001-  (2018)",,"Sis. Laney Hocutt, 2001-  (2018)",,© Copyright 2018 by Laney Hocutt. All rights reserved. Used by permission.,"Tears flood my eyes, I cry to Thee,","Lord, I believe! Lord, I beleive, ",Mark 9:24; 2nd Timothy 2:13,
410,411,Bound for Canaan,338,1,,E.J. King,"arr. by Elder Roland Green, 1924-2011",,,,Bliss comes through sore temptation,,,
411,412,I’m But a Wand’ring Pilgrim,344,9,"PLEASANT HILL, C.M.D.",William Nicholson,,"Elder John R. Daily, 1854-1920",,,I’m but a wand’ring pilgrim here,,,
412,413,Thorny Desert,274,10,8.7.8.7.D.,"William Walker, 1809-1875","arr. Elder Roland Green, 1924-2011",from The Christian Harmony,,,Dark and thorny is the desert,,,
413,414,I Will Rest in Thy Love,OSH12,7,ASSURANCE,"Elder John R. Daily, 1854-1920",,"Elder John R. Daily, 1854-1920",,,"O my Lord, I am Thine; what a blessing divine",I will rest in Thy love,,
414,415,Anywhere Is Home,463,7,,"Homer F. Morris, 1875-1955",,"J.M. Henson, 1887-1972",,,"Earthly wealth, and fame may never come","Anywhere is home, let come and go",,
415,416,Because He Lives,373,OLH2, ,"William J. Gaither, 1936- (1971)",,Gloria & William J. Gaither (1971),,"© Copyright 1971, 1996 William J. Gaither. All rights reserved. Used by permission.","God sent His Son, they called Him Jesus","Because He lives, I can face tomorrow",,
416,417,Rock Of Ages,51,1,"TOPLADY, 7’s","Thomas Hastings, 1784-1882 (1830)",,"Augustus M. Toplady, 1740-1778 (1776); alt.",,,"Rock of Ages, cleft for me",,,
417,418,Some Day,454,9,,"Bro. Ernest L. Parker, 1907-1999","arr. by Byron L. Whitworth, 1898-1962","Bro. Ernest L. Parker, 1907-1999",,© Copyright 1949 by J.M. Henson. All rights reserved.,There’s a way that is strait leading up,"Some day, Some day when this life",,
418,419,As Thirsts The Hart For Water Brooks,168,10,"BACA, 8.8.8.8.8.","William B. Bradbury, 1816-1868",,,,,As thirst the hart for water brooks,,Psalm 42,
419,420,Farther Along,411,8,,"W.B. Stevens, 1862-1940","arr. by J.R. Baxter, 1887-1960","W.B. Stevens, 1862-1940",,"© Copyright 1937 by Stamps Baxter Music & Printing Company  in “Starlit Crown.” Renewed 1965.
Adm. by Brentwood-Benson Music Publishing, Inc. All rights reserved. Used by permission.",Tempted and tried we’re oft made to wonder,Farther along we’ll know all about it,,
420,421,The Pilgrim’s Song,414,2,S.M.,"Aldine S. Keifer, 1840-1904",,"from Horatius Bonar, 1808-1889 (1842)",,,A few more years shall roll,"Then, O my Lord, prepare my soul",,
421,422,Palms Of Victory,585,1,7.6.7.6.D. with Chorus,John B. Mathias (1836),,John B. Mathias; alt.,,,I saw a wayworn traveler,"Then palms of victory, crowns of glory",,
422,423,Christ Satisfies,216,9,,L.D. Morris,,"J.M. Henson, 1887-1972",,,Whene’er you need a friend,Christ satisfies the soul,,
423,424,"Jesus, Lover Of My Soul",114,1,"MARTYN, 7.7.7.7.D.","Simeon B. Marsh, 1798-1875",,"Charles Wesley, 1707-1788",,,"Jesus, lover of my soul",,,
424,425,The Child Of Grace,303,10,C.M.D.,E.J. King (1844),"arr. by Elder Roland Green, 1924-2011","Charles Wesley, 1707-1788",,,How happy’s every child of grace,,,
425,426,Hold Me By Thy Hand,458,OLH1,,"Elder J.A. Monsees, 1883-1971",,"Elder J.A. Monsees, 1883-1971",,© Copyright 1944 by J.A. Monsees. Assigned to Old School Hymnal Co. Inc.,"In the dark, dear Lord, I’ll cry ",When the fearful billows roar,,
426,427,"Take My Hand, Precious Lord",562,11,,"Thomas A. Dorsey, 1899-1993",,"Thomas A. Dorsey, 1899-1993",,"© Copyright 1938 by Unichappell Music, Inc. 
This arr. © Copyright 2004 by Unichappell Music, Inc.
International copyright secured. All rights reserved. Used by permission.","When my way groweth drear, precious Lord","Precious Lord, take my hand",,
427,428,O I Want To See Him,541,11,,"R.H. Cornelius, 1872-1933 (1916)",,"R.H. Cornelius, 1872-1933 (1916)",,,As I journey thru the land singing as I go,"O I want to see Him, look upon His face",,
428,429,Close to Thee,86,2,"HELEN, 8.7.8.7.","Silas J. Vail, 1818-1884 (1874)",,"Fanny Crosby, 1820-1915 (1874)",,,"Thou, my everlasting portion","Close to Thee, close to Thee",,
429,430,It Is Well With My Soul,174,9,VILLE DU HAVRE,"Philip P. Bliss, 1838-1876",,"H.G. Spafford, 1828-1888",,,When peace like a river attendeth,It is well with my soul,,
430,431,"Be Still, My Soul",173,10,FINLANDIA,"Jean Sibelius, 1865-1957 (1899)",,"Katarina von Schlegel, 1697-1768 (1752)","trans. by Jane L. Borthwick, 1813-1897 (1855)",,"Be still, my soul; the Lord is on thy side",,,
431,432,Does Jesus Care?,380,10,,"J. Lincoln Hall, 1866-1930",,"Frank E. Graeff, 1860-1919",,,Does Jesus care when my heart is pained,"Oh, yes, He cares, I know He cares",,
432,433,Near To The Heart Of God,169,10,C.M. with Chorus,"C.B. McAfee, 1866-1944",,"C.B. McAfee, 1866-1944",,,There is a place of quiet rest,"O Jesus, blest Redeemer",,
433,434,It Is I,196,5,,"A.S. Keiffer, 1840-1904",,"I.J. Baltzell, 1832-1893",,,When the storm in its fury,"It is I, it is I",,
434,435,How Tedious And Tasteless The Hours,310,1,"DE FLEURY, L.M.D.
(GREEN FIELDS)",German Folk Tune,"arr. by Lewis Edson, 1748-1820","John Newton, 1725-1807",,,How tedious and tasteless the hours,,,
435,436,"Lord, Let Me Praise Thee",311,8,ADORATION,"Sis. Mary F. Stewart, 1883-1965",,"Sis. Mary F. Stewart, 1883-1965",,© Copyright 1942 Old School Hymnal Co. All rights reserved.,"Lord, let me praise Thee in the morning",,,
436,437,O Jesus! Sweet the Tears,337,10,"BABEL’S STREAMS, C.M.",,"arr. by Elder Roland Green, 1924-2011 ed. for Old School Hymnal (2020)","Ray Palmer, 1808-1887",,,O Jesus! sweet the tears I shed,,,
437,438,Flee As A Bird,403,10,,"Mary S.B. Dana, 1810-1883","arr. by Elder Roland Green, 1924-2011","Mary S.B. Dana, 1810-1883",,,Flee as a bird to your mountain,,,
438,439,Leaning On The Everlasting Arms,433,9,,"Anthony Showalter, 1858-1924",,"Elisha A. Hoffman, 1839-1929",,,"What a fellowship, what a joy divine","Leaning, leaning, safe and secure",,
439,440,Your Redemption Draws Nigh,SOZ - 38,OSH100,,"Elder Tim McCool, 1971-  (2016)","arr. by Elder Bryce H. Lowrance, 1970-","Elder Tim McCool, 1971-  (2016)",,"© Copyright 2017 by McCool & Lowrance in “Songs of Zion.”
All rights reserved. Used by permission.",In this world ye shall have tribulation,Look up to the skies weary Christian,"Luke 21:25-28; John 16:33;
1 Corinthians 15:31; 1 Thessalonians 4:13-18",
440,441,"Master, The Tempest Is Raging",473,8,,"Horatio R. Palmer, 1834-1907 (1874)",,"Mary Ann Baker, 1831-1921 (1874)",,,"Master, the tempest is raging!",The winds and waves shall obey Thy will,Mark 4:35-41,
441,442,"Father, We Rest In Thy Love",450,4,,"R.M. McIntosh, 1836-1899",,,,-,"Father, we rest in Thy love",,,
442,443,Tender Care,PBH - 438,OSH100,C.M.D.,P.M. Ackley,,"from Joseph Addison, 1672-1719 (1712); alt.",,,"When all Thy mercies, O my God",,,
443,444,The Touch Of His Gentle Hand,512,11,,"Albert E. Brumley, 1905-1977",,,"Albert E. Brumley, 1905-1977","© Copyright 1960 Stamps-Baxter Music. All rights reserved.
Used by permission of Brentwood-Benson Music.",No matter how dark the night,One touch of His gentle hand ,,
444,445,Blessed Assurance,47,1,,"Phoebe Palmer Knapp, 1839-1908 (1873)",,"Fanny Crosby, 1820-1915 (1873)",,,"Blessed assurance, Jesus is mine!","This is my story, this is my song",,
445,446,Tis So Sweet To Trust In Jesus,346,OLH2,,"William J. Kirkpatrick, 1838-1921 (1882)",,"Louisa M.R. Stead, 1850-1917 (1182)",,,Tis so sweet to trust in Jesus,"Jesus, Jesus, how I trust Him!",,
446,447,Safe In His Love,550,11,,"J.H. Hall, 1855-1941",,Ada Powell,,,"As the bright, glowing light of the morning",I am safe in His love,,
447,448,From Every Stormy Wind,105,1,"MERCY SEAT, 7’s",,,"Hugh Stowell, 1799-1865",,,From ev’ry stormy wind that blows,,,
448,449,That’s Enough For Me,532,11,C.M.,"Bro. Ernest L. Parker, 1907-1999",,"Sis. Ellen Tolley Bond, 1958-",,"© Copyright 1983 Old School Hymnal Co., Inc. All rights reserved.",I know not what God has in store,,,
449,450,The Lord Has Been So Good To Me,262,7,,"Elder J. Harvey Daily, 1881-1964",,"Elder R.H. Pittman, 1870-1941",,,The Lord has been so good to me,The Lord has been so good to me,Psalm 135:3,
450,451,The Unseen Hand,591,OLH2,,"Elder A.J. Sims, 1884-1969",,"Elder A.J. Sims, 1884-1969",,,There is an unseen hand to me,I’m trusting to the unseen hand,,
451,452,I Know Whom I Have Believed,145,10,EL NATHAN,"James McGranahan, 1840-1907",,"Daniel W. Whittle, 1840-1901",,,I know not why God’s wondrous grace,"But, “I know whom I have believed”",2nd Timothy 1:12,
452,453,The Rock That Is Higher Than I,198,4,,"William G. Fischer, 1835-1912",,"Erastus Johnson, 1826-1909",,,O sometimes the shadows are deep,O then to the Rock let me fly,,
453,454,"Oh, Once I Had A Glorious View",328,10,"COLUMBUS, C.M.D.",Southern Harmony (1835),"arr. by Elder Roland Green, 1924-2011",Jesse Mercer’s Cluster of Spiritual Songs (1810),,,"Oh, once I had a glor’ous view",,Job 23,
454,455,Gird Thy Loins Up Christian Soldier,78,OLH2,"AUSTRIAN HYMN, 8.7.8.7.D.","Franz Joseph Haydn, 1732-1809 (1797)",,"Joseph Hart, 1712-1768",,,"Gird thy loins up, Christian soldier",,Ephesians 6:10-20,
455,456,Am I A Soldier Of The Cross?,292,1,"LEANDER, C.M.D.",Austin in Tennessee Harmony (1818),"arr. by Elder Roland Green, 1924-2011","Isaac Watts, 1674-1748 (1709)",,,Am I a soldier of the cross?,,,
456,457,Beneath The Sacred Throne,355,10,"AVON, C.M.","Hugh Wilson, 1764-1824",,"Thomas Ken, 1637-1711",,,Beneath the sacred throne of God,,,
457,458,"Rejoice, The Lord Is King",438,9,"FREDERICKSBURG, H.M.","R.M. McIntosh, 1836-1899",,"from Charles Wesley, 1707-1788 (1746)",,,"Rejoice, the Lord is King, your God","Lift up the heart, lift up the voice",,
458,459,Charity,252,7,"LABAN, S.M.","Lowell Mason, 1792-1872",,"Elder R.H. Pittman, 1870-1941",,,Love is the greatest thing This world,,,
459,460,Never Alone,195,,,,,,,,I’ve seen the lightning flashing,"No, never alone, no, never alone",,
460,461,"Great is The Lord, Our God",53,10,"ST. THOMAS, S.M.","Aaron Williams, 1731-1776",,"Isaac Watts, 1674-1748",,,"Great is the Lord, our God, and let",,,
461,462,I Know Who Holds Tomorrow,555,OLH2,,"Ira F. Stanphill, 1914-1994",ed. for Old School Hymnal (2020),"Ira F. Stanphill, 1914-1994",,"© Copyright 1950 Singspiration Music/ASCAP. All rights reserved.
Used by permission of Brentwood-Benson Music.",I don’t know about tomorrow,Many things about tomorrow I don’t seem,,
462,463,O For A Heart To Praise My God,23,1,"ARLINGTON, C.M.","Dr. Thomas Arne, 1710-1788 (1762)","arr. by Ralph Harrison, 1748–1810 (1784)","from Charles Wesley, 1707-1788",,,O for a heart to praise my God,,,
463,464,Leave It There,504,OLH2,,"Charles A. Tindley, 1851-1933",,"Charles A. Tindley, 1851-1933",,,If the world from you withhold,"Leave it there, leave it there",,
464,465,"God Of Love, O Hear Our Prayer",98,10,"WEEPING SINNERS, 7’s",J.P. Rees,"arr. by Elder Roland Green, 1924-2011","from Charles Wesley, 1707–1788",,,"God of love, O hear our prayer,",,,
465,466,He Hideth My Soul,202,10,,"William J. Kirkpatrick, 1838-1921",,"Fanny Crosby, 1820-1915",,,A wonderful Savior is Jesus my Lord,He hideth my soul in the cleft,,
466,467,"Jesus, Before Thy Face I Fall",130,10,"HAMBURG, L.M.",from a Gregorian Chant,"arr. by Lowell Mason, 1792-1872 (1824)","Samuel Medley, 1738–1799",,,"Jesus, before Thy face I fall. My Lord",,,
467,468,Never A Friend Like Thee,521,OLH2,,F. Campana,arr. by Alfred Judson  ed. for Old School Hymnal (1996),"Elsie Duncan Yale, 1873-1956
under the pseudonym Grace Gordon",,"© Copyright 1923 by Hall-Mack Co. 
International copyright secured.",Loving me ere I knew Him,Sing of a Friend so loyal,,
468,469,Jesus Is All I Wish Or Want,569,11,"HAMILTON, L.M.","Benjamin F. White, 1800-1879","arr. by Elder Roland Green, 1924-2011",,,,"Jesus is all I wish or want, For him I pray",,,
469,470,Be Still and Know,SOZ - 57,OSH100,,"Sis. Renee Herrin Rogers, 1963-  (2017)","arr. by Elder Bryce H. Lowrance, 1970-","Sis. Renee Herrin Rogers, 1963-  (2017)",,"© Copyright 2017 by Renee Herrin Rogers in “Songs of Zion.”
All rights reserved. Used by permission.",Be still and know that I AM God,,,
470,471,"How Sweet, How Heavenly",29,1,"MANOAH, C.M.","H.W. Greatorex, 1811-1858",,"from Joseph Swain, 1761-1796 (1792)",,,"How sweet, how heav’nly is the sight",,,
471,472,"Blessed Savior, We Adore Thee",598,12,GLORIOUS NAME  8.7.8.7. with Chorus,"B.B. McKinney, 1886-1952 (1942); ed.",,"B.B. McKinney, 1886-1952 (1942)",,,"Blessed Savior, we adore Thee","Glorious, Glorious, Glorious is Thy name",,
472,473,Blessed Jesus! Thee We Sing,409,10,"ST. LOUIS, 7’s",,,,,,Blessed Jesus! Thee we sing; Thou of life,,,
473,474,He Whispers Sweet Peace To Me,172,10,,"Will M. Ramsey, 1872-1939",,"Will M. Ramsey, 1872-1939",,© Copyright 1932 in “New Songs.” Owned by R.E. Winsett.,Sometimes when misgivings darken the day,He whispers sweet peace to me,,
474,475,In Songs of Sublime Adoration,32,10,,,"arr. by Elder John R. Daily, 1854-1920",George Keith (1787),,,In songs of sublime adoration and praise,,,
475,476,"Jesus, Hold My Hand",462,11,,"Albert E. Brumley, 1905-1977",,"from Albert E. Brumley, 1905-1977",,"© Copyright 1933 in “Gems of Gladness” by Hartford Music Co.
Renewed 1961 by Albert E. Brumley & Sons/SESAC (admin. by ICG).
All rights reserved. Used by permission",As I travel thru this pilgrim land,"Blessed Jesus, hold my hand",,
476,477,"Lord, Lead Me On",572,11,7’s & 8’s with Chorus,"Marion W. Easterling, 1910-1990",,"Marion W. Easterling, 1910-1990; alt.",,"© Copyright 1937 Stamps-Baxter Music/BMI (adm. by Brentwood-Benson Music Pub., Inc.)
All rights reserved. Used by permission.",When the way seems dark and long,"Lord, lead me on, from day to day",,
477,478,"Poor, Weak, And Worthless",170,2,"ESTER, L.M.","John S. Terry, 1826–1886",,"from John Newton, 1725-1807 (1779)",,,"Poor, weak, and worthless tho’ I am",,,
478,479,Wonderful Grace Of Jesus,606,12,,"Haldor Lillenas, 1885-1959 (1918)",,"Haldor Lillenas, 1885-1959 (1918)",ed. for Old School Hymnal (2001),,"Wonderful grace of Jesus, Greater",Wonderful the matchless grace of Jesus,,
479,480,Exalt the Lord!,SOZ - 74,OSH100,,"Elder Bryce H. Lowrance, 1970-  (2017)",,"Elder Ralph Harris, 1938-2016",,"Words - © Copyright 2014 by Ralph Harris in “Walking with God: A Collection of Poems.”
Music - © Copyright 2017 by Bryce H. Lowrance in “Songs of Zion.”
All rights reserved. Used by permission.","Exalt the Lord, Oh soul of mine,",,,
480,481,The Great Redeemer,605,12,,"Samuel W. Beasley, 1873-1944",,from Francis Foster (1915),,,How I love the great Redeemer,"He is everything to me,",,
481,482,Jesus Is Best Of All,472,7,,"Byron L. Whitworth, 1898-1962",,"J.M. Henson, 1887-1972",,"© Copyright 1935 in “Singing on the Way, No. 2.” Owned by Morris & Henson",I have a lot of friends so true and kind,He walks along with me,,
482,483,"All Hail, Immanuel!",469,10,,"Charles H. Gabriel, 1856-1932",,D.R. Van Sickle,,,"All hail to Thee, Immanuel",Hail to the King we love so well!,Hail Immanuel! Immanuel!,
483,484,Awakening Chorus,468,10,,"Charles H. Gabriel, 1856-1932",ed. for Old School Hymnal (2020),Charles H. Gabriel,under the pseudonym Charlotte G. Homer,,Awake! Awake! and sing the blessed story,The Lord Jehovah reigns ,Proclaim His sov’reign power to all the word,
484,485,Liberty,SOZ - 72,OSH100,,"Elder Bryce H. Lowrance, 1970-  (2009)",,"Elder Bryce H. Lowrance, 1970-  (2009)",,"© Copyright 2017 Bryce H. Lowrance, All rights reserved. Used by permission.",According as He chose before the,"Therefore, I live my life in liberty","Ephesians 1:3-6
  Romans 3:24",
485,486,Precious Memories,404,8,8’s & 7’s,"J.B.F. Wight, 1877-1959",,"J.B.F. Wight, 1877-1959",,,"Precious mem’ries, unseen angels","Precious mem’ries, how they linger",,
486,487,All You that in the Flood,475,10,"LONSDALE, S.M.","from Arcangelo Correlli, (1653-1713)","arr. by Ralph Harrison, 1748-1810 (1788) ed. for Old School Hymnal (2020)",,,,All you that in the flood have owned,In Zion you should dwell,,
487,488,"Lord, In The Morning",477,5,"EXHORTATION, C.M.",Hibbard,Connecticut Harmony (1796),"from Isaac Watts, 1674-1748 (1719)",,,"Lord, in morning Thou shalt hear my voice",To Thee will I direct my prayer,,
488,489,"Blow Ye The Trumpet, Blow",476,4,"LENOX, H.M.","Lewis Edson, 1748-1820 (1782)",,"from Charles Wesley, 1707-1788 (1750)",,,"Blow ye the trumpet, blow",The year of jubilee is come,Leviticus 25:9,
489,490,Now Shall My Inward Joys Arise,PBH - 611,OSH100,"AFRICA, C.M.","William Billings, 1746-1800 (1770)",,"from Isaac Watts, 1674-1748 (1709)",,,Now shall my inward joys arise,,,
490,491,When I Can Read My Title Clear,351,1,"NINETY-FIFTH, C.M.",Colton in Patterson’s Church Music (1813),"arr. by Elder Roland Green, 1924-2011","Isaac Watts, 1674-1748",,,When I can read my title clear,I'll bid farewell to ev’ry fear,,
491,492,Parting Hand,95,1,L.M.D.,from Southern Harmony (1835); ed.,,Portsmouth Selection (1823); ed.,,,My dearest friends in bonds of love,,,
492,493,Evening Meditations,553,11,,"Sis. Willie M. Conry, 1907-1988","arr. by Elder Roland Green, 1924-2011","Sis. Willie M. Conry, 1907-1988",,,"Oh, what have I done in Thy name ","Oh, what have I done, Oh what have I",,
493,494,The Day Is Past and Gone,295,7,"DENNIS, S.M.","Hans Georg Nägeli, 1773-1836","arr. by Lowell Mason, 1792-1872","Elder John Leland, 1754-1841",,,The day is past and gone,,,
494,495,"All Prasie To Thee, My God, This Night",88,10,"TALLIS’ EVENING HYMN, L.M.","Thomas Tallis, 1505-1585 (ca. 1560)",,"from Thomas Ken, 1637-1711 (1674)",,,"All praise to Thee, my God, this night",,,
495,496,"May The Grace Of Christ, Our Savior",452,10,"COLUMBIANA, 8.7.8.7.","D.P. White, 1828-1903 (1859)","arr. by Elder Roland Green, 1924-2011","Vs. 1 & 2
John Newton, 1825-1807 (1779)",,,May the grace of Christ our Savior,,,
496,497,"Jesus, Grant Us All a Blessing",65,1,"GREENVILLE, 8’s & 7’s","J.J. Rousseau, 1712-1778 (1752)",,George Atkins (1793),,,"Jesus, grant us all a blessing","Farewell brethren, farewell sisters",,
497,498,"In Mercy, Lord, Remember Me",96,1,"EVAN “NIGHT”, C.M.","William H. Havergal, 1793-1870 (1847)",ed. by W. Beale,"from Johann F. Hertzog, 1647-1699 (1670)","trans. by J.C. Jacobi, 1670-1750",,"In mercy, Lord, remember me",,,
498,499,The Lord Bless You And Keep You,609,10,,"Peter C. Lutkin, 1858-1931",,,,,The Lord bless you and keep you,,Numbers 6:24-26,
499,500,Now The Day Is Over,99,10,"MERRIAL, 6.5.6.5.","Joseph Barnby, 1838-1896 (1868)",,"Sabine Baring-Gould, 1834-1924 (1865)",,,"Now the day is over, Night is drawing nigh",,,
500,501,God Be With You,94,5,,"William G. Tomer, 1832-1896",,"J.E. Rankin, 1828-1904",,,God be with you till me meet again,"Till we meet, till we meet",,
501,502,An Evening Prayer,610,1,,"Charles H. Gabriel, 1856-1932",,C.M. Battersby,,,If I have wounded any soul today,,,
